epoch	time	lr	loss	acc	fscore_micro	val_loss	val_acc	val_fscore_micro
1	14.908386384999176	0.2	0.9432257694721222	66.05166666666666	0.6605166792869568	0.8200116489410401	68.57	0.685699999332428
2	14.81873682800142	0.2	0.7629816953579585	69.47	0.6947000026702881	0.7604778903484345	69.42	0.6941999793052673
3	15.662573287998384	0.2	0.7342879478851955	69.88	0.6988000273704529	0.7514717550754547	69.38	0.6937999725341797
4	20.494217735998973	0.2	0.7193000614881515	70.12	0.701200008392334	0.7506315382480622	69.11	0.691100001335144
5	13.351220902997738	0.2	0.5021017392038367	79.75	0.7975000143051147	0.13994438693914563	96.32	0.9631999731063843
6	13.60818012099844	0.2	0.06894758303849959	98.085	0.9808499813079834	0.07690554431511555	97.73	0.9772999882698059
7	13.938939430001483	0.2	0.04896840893502813	98.56833333333333	0.9856833219528198	0.08106300615112996	97.73	0.9772999882698059
8	17.231247330997576	0.2	0.03709279911612199	98.875	0.9887499809265137	0.07732762620487484	97.89	0.9789000153541565
9	14.825891592001426	0.2	0.031138309090507875	99.01333333333334	0.9901333451271057	0.07706303866488742	97.88	0.9787999987602234
10	13.946682384001178	0.2	0.024822869467840063	99.21333333333334	0.9921333193778992	0.08194219812222109	97.96	0.9796000123023987
11	13.900098206999246	0.2	0.02285994244084577	99.28166666666667	0.992816686630249	0.08616402574062304	97.78	0.9778000116348267
12	13.61784244500086	0.2	0.017934696998965712	99.46166666666667	0.994616687297821	0.08812066221919013	97.87	0.9786999821662903
13	14.513544219000323	0.2	0.014666854418152556	99.53333333333333	0.9953333139419556	0.08828703605318843	97.75	0.9775000214576721
14	13.8753356849993	0.2	0.014984283301812805	99.51	0.9951000213623047	0.10479004783022938	97.74	0.977400004863739
15	14.805341912997392	0.2	0.013421504820322177	99.59666666666666	0.9959666728973389	0.08098027316947118	98.21	0.9821000099182129
16	14.136480219000077	0.2	0.013843704368381986	99.58166666666666	0.9958166480064392	0.09744433348796447	97.82	0.9782000184059143
17	14.875372460999642	0.2	0.009457089566597613	99.70666666666666	0.9970666766166687	0.08318400575159503	98.25	0.9825000166893005
18	15.109431861001212	0.2	0.00826390278293026	99.735	0.9973499774932861	0.09288691858395423	98.18	0.9818000197410583
19	14.514539939002134	0.2	0.008880642267427234	99.73	0.9973000288009644	0.07700852358199677	98.42	0.9842000007629395
20	14.815662435998092	0.2	0.008454344358189526	99.745	0.9974499940872192	0.09068381478474814	98.19	0.9818999767303467
21	15.151075382000272	0.2	0.009463388255505542	99.705	0.9970499873161316	0.08985475788437579	98.07	0.9807000160217285
22	14.819557680002617	0.2	0.0022829793078909953	99.93166666666667	0.9993166923522949	0.09594873168011482	98.1	0.9810000061988831
23	15.157802202000312	0.2	0.0016280449155455581	99.95	0.9994999766349792	0.08787661019267295	98.33	0.983299970626831
24	14.258243603002484	0.2	0.0008245193329131981	99.97666666666667	0.9997666478157043	0.09163377999429863	98.35	0.9835000038146973
25	18.409535869999672	0.2	0.007592646705491775	99.80333333333333	0.998033344745636	0.0999186319673034	98.13	0.9812999963760376
26	16.02210655700037	0.2	0.00575368273572753	99.83166666666666	0.9983166456222534	0.09220398089420333	98.03	0.9803000092506409
27	14.54777056400053	0.2	0.005226028892137477	99.82666666666667	0.9982666373252869	0.09951324410772036	98.18	0.9818000197410583
28	16.000856202997966	0.2	0.0025172555120841172	99.93666666666667	0.9993666410446167	0.10034870291925893	97.98	0.9797999858856201
29	15.726711068004079	0.2	0.005043481852184379	99.85	0.9984999895095825	0.09173655390507124	98.31	0.9830999970436096
30	16.657136765003088	0.2	0.0005801069014114117	99.98833333333333	0.9998833537101746	0.0924124095576346	98.4	0.984000027179718
31	17.47117350500048	0.2	0.00018668565657517592	99.99666666666667	0.9999666810035706	0.09168012266530057	98.48	0.9847999811172485
32	18.765758399000333	0.2	0.00011163569349430548	99.99833333333333	0.9999833106994629	0.09286505015803781	98.48	0.9847999811172485
33	16.899100834998535	0.2	9.720483830384386e-05	99.99833333333333	0.9999833106994629	0.09332910065034071	98.49	0.9848999977111816
34	17.277595209001447	0.2	8.843410150409028e-05	99.99833333333333	0.9999833106994629	0.09390433058662973	98.49	0.9848999977111816
35	18.48190546400292	0.2	8.266435474300214e-05	99.99833333333333	0.9999833106994629	0.09432466071488384	98.51	0.9850999712944031
36	20.297628737003834	0.2	7.833269840176591e-05	99.99833333333333	0.9999833106994629	0.09493227559451116	98.51	0.9850999712944031
37	17.859260473000177	0.2	7.48092239878248e-05	99.99833333333333	0.9999833106994629	0.09546388699809699	98.53	0.9853000044822693
38	18.456570021997322	0.2	7.194810924851893e-05	99.99833333333333	0.9999833106994629	0.09601703703158417	98.52	0.9851999878883362
39	15.761280794999038	0.2	6.955678823291814e-05	99.99833333333333	0.9999833106994629	0.09644919588572921	98.52	0.9851999878883362
40	17.554429314004665	0.2	6.755982413456512e-05	99.99833333333333	0.9999833106994629	0.0967918389638343	98.52	0.9851999878883362
41	16.974707130000752	0.2	6.580638421430768e-05	99.99833333333333	0.9999833106994629	0.09720080719145044	98.51	0.9850999712944031
42	18.250188484002138	0.2	6.425915094131807e-05	99.99833333333333	0.9999833106994629	0.09757033243358987	98.51	0.9850999712944031
43	19.650543948999257	0.2	6.28774789815914e-05	99.99833333333333	0.9999833106994629	0.09797039391955904	98.51	0.9850999712944031
44	15.121943806996569	0.2	6.16400946965688e-05	99.99833333333333	0.9999833106994629	0.09830646225763334	98.5	0.9850000143051147
45	19.947833956997783	0.2	6.051624748884853e-05	99.99833333333333	0.9999833106994629	0.09863599401419476	98.5	0.9850000143051147
46	17.292608879004547	0.2	5.9599487826017615e-05	99.99833333333333	0.9999833106994629	0.0989773009190154	98.5	0.9850000143051147
47	18.756443760001275	0.2	5.8666043766456846e-05	99.99833333333333	0.9999833106994629	0.09927199711324262	98.5	0.9850000143051147
48	19.26984682800685	0.2	5.782732353628515e-05	99.99833333333333	0.9999833106994629	0.09959927056350751	98.5	0.9850000143051147
49	19.039866397994047	0.2	5.7096039565917305e-05	99.99833333333333	0.9999833106994629	0.09977522657493215	98.5	0.9850000143051147
50	18.125761307004723	0.2	5.642132062177486e-05	99.99833333333333	0.9999833106994629	0.10005478392556166	98.51	0.9850999712944031
51	20.322966047999216	0.2	5.5850503399740365e-05	99.99833333333333	0.9999833106994629	0.10029333114773806	98.49	0.9848999977111816
52	19.16721843000414	0.2	5.521647037899141e-05	99.99833333333333	0.9999833106994629	0.10054253258478993	98.49	0.9848999977111816
53	19.96354707499995	0.2	5.4639022721658156e-05	99.99833333333333	0.9999833106994629	0.10080863503412384	98.49	0.9848999977111816
54	19.39416304200131	0.2	5.415610149827093e-05	99.99833333333333	0.9999833106994629	0.10102769387112855	98.51	0.9850999712944031
55	19.079533587006154	0.2	5.368195335072497e-05	99.99833333333333	0.9999833106994629	0.10126974068812063	98.5	0.9850000143051147
56	19.09952968399739	0.2	5.326500184771371e-05	99.99833333333333	0.9999833106994629	0.10147439266739998	98.51	0.9850999712944031
57	18.21090880200063	0.2	5.2822127683336957e-05	99.99833333333333	0.9999833106994629	0.10167777129957074	98.51	0.9850999712944031
58	19.070391952001955	0.2	5.2455736468364596e-05	99.99833333333333	0.9999833106994629	0.10184408034435448	98.5	0.9850000143051147
59	17.275768895997317	0.2	5.209813818286158e-05	99.99833333333333	0.9999833106994629	0.10205809858333396	98.51	0.9850999712944031
60	19.970403888000874	0.2	5.172024516017094e-05	99.99833333333333	0.9999833106994629	0.10226565607038937	98.51	0.9850999712944031
